main500_task_id	all750_idx0	specimen_id	image_exists	chosen_image_path	original_local_jpeg	candidate_paths	DOI	jpegURL	jsonURL	occurrenceID
10	10	L.3499241	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0011_L.3499241.jpg	data_rds/02_raw_images/main500/main500_row0011_L.3499241.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0011_L.3499241.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0011_L.3499241.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0011_L.3499241.jpg	http://dx.doi.org/10.5281/zenodo.1487032	https://zenodo.org/record/1487032/files/L.3499241.jpg	https://zenodo.org/record/1487032/files/L.3499241.json	http://data.biodiversitydata.nl/naturalis/specimen/L.3499241
11	11	BM000936708	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0012_BM000936708.jpg	data_rds/02_raw_images/main500/main500_row0012_BM000936708.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0012_BM000936708.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0012_BM000936708.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0012_BM000936708.jpg	http://dx.doi.org/10.5281/zenodo.1480475	https://zenodo.org/record/1480475/files/BM000936708.jpg	https://zenodo.org/record/1480475/files/BM000936708.json	cc637cd5-0cad-4972-a950-073bc4e32961
12	12	E00246564	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0013_E00246564.jpg	data_rds/02_raw_images/main500/main500_row0013_E00246564.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0013_E00246564.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0013_E00246564.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0013_E00246564.jpg	http://dx.doi.org/10.5281/zenodo.1483875	https://zenodo.org/record/1483875/files/E00246564.jpg	https://zenodo.org/record/1483875/files/E00246564.json	http://data.rbge.org.uk/herb/E00246564
13	13	E00087190	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0014_E00087190.jpg	data_rds/02_raw_images/main500/main500_row0014_E00087190.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0014_E00087190.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0014_E00087190.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0014_E00087190.jpg	http://dx.doi.org/10.5281/zenodo.1483705	https://zenodo.org/record/1483705/files/E00087190.jpg	https://zenodo.org/record/1483705/files/E00087190.json	http://data.rbge.org.uk/herb/E00087190
14	14	K000914265	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0015_K000914265.jpg	data_rds/02_raw_images/main500/main500_row0015_K000914265.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0015_K000914265.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0015_K000914265.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0015_K000914265.jpg	http://dx.doi.org/10.5281/zenodo.1486462	https://zenodo.org/record/1486462/files/K000914265.jpg	https://zenodo.org/record/1486462/files/K000914265.json	http://specimens.kew.org/herbarium/K000914265
15	15	E00704451	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0016_E00704451.jpg	data_rds/02_raw_images/main500/main500_row0016_E00704451.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0016_E00704451.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0016_E00704451.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0016_E00704451.jpg	http://dx.doi.org/10.5281/zenodo.1484219	https://zenodo.org/record/1484219/files/E00704451.jpg	https://zenodo.org/record/1484219/files/E00704451.json	http://data.rbge.org.uk/herb/E00704451
16	16	L.1933299	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0017_L.1933299.jpg	data_rds/02_raw_images/main500/main500_row0017_L.1933299.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0017_L.1933299.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0017_L.1933299.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0017_L.1933299.jpg	http://dx.doi.org/10.5281/zenodo.1486866	https://zenodo.org/record/1486866/files/L.1933299.jpg	https://zenodo.org/record/1486866/files/L.1933299.json	http://data.biodiversitydata.nl/naturalis/specimen/L.1933299
17	17	BM000815211	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0018_BM000815211.jpg	data_rds/02_raw_images/main500/main500_row0018_BM000815211.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0018_BM000815211.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0018_BM000815211.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0018_BM000815211.jpg	http://dx.doi.org/10.5281/zenodo.1480347	https://zenodo.org/record/1480347/files/BM000815211.jpg	https://zenodo.org/record/1480347/files/BM000815211.json	ad5cf812-1280-4508-9c68-f4ddfc07a41a
18	18	K000256371	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0019_K000256371.jpg	data_rds/02_raw_images/main500/main500_row0019_K000256371.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0019_K000256371.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0019_K000256371.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0019_K000256371.jpg	http://dx.doi.org/10.5281/zenodo.1485803	https://zenodo.org/record/1485803/files/K000256371.jpg	https://zenodo.org/record/1485803/files/K000256371.json	http://specimens.kew.org/herbarium/K000256371
19	19	E00393090	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0020_E00393090.jpg	data_rds/02_raw_images/main500/main500_row0020_E00393090.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0020_E00393090.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0020_E00393090.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0020_E00393090.jpg	http://dx.doi.org/10.5281/zenodo.1484010	https://zenodo.org/record/1484010/files/E00393090.jpg	https://zenodo.org/record/1484010/files/E00393090.json	http://data.rbge.org.uk/herb/E00393090
20	20	BM001110306	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0021_BM001110306.jpg	data_rds/02_raw_images/main500/main500_row0021_BM001110306.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0021_BM001110306.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0021_BM001110306.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0021_BM001110306.jpg	http://dx.doi.org/10.5281/zenodo.1480651	https://zenodo.org/record/1480651/files/BM001110306.jpg	https://zenodo.org/record/1480651/files/BM001110306.json	6e08dee1-0914-42bf-b913-8bcf53164249
21	21	BM000521570	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0022_BM000521570.jpg	data_rds/02_raw_images/main500/main500_row0022_BM000521570.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0022_BM000521570.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0022_BM000521570.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0022_BM000521570.jpg	http://dx.doi.org/10.5281/zenodo.1480266	https://zenodo.org/record/1480266/files/BM000521570.jpg	https://zenodo.org/record/1480266/files/BM000521570.json	8d7843fb-8b71-463d-b4d2-100e26a2f65e
22	22	K000528885	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0023_K000528885.jpg	data_rds/02_raw_images/main500/main500_row0023_K000528885.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0023_K000528885.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0023_K000528885.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0023_K000528885.jpg	http://dx.doi.org/10.5281/zenodo.1485868	https://zenodo.org/record/1485868/files/K000528885.jpg	https://zenodo.org/record/1485868/files/K000528885.json	http://specimens.kew.org/herbarium/K000528885
23	23	P00451097	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0024_P00451097.jpg	data_rds/02_raw_images/main500/main500_row0024_P00451097.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0024_P00451097.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0024_P00451097.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0024_P00451097.jpg	http://dx.doi.org/10.5281/zenodo.1487136	https://zenodo.org/record/1487136/files/P00451097.jpg	https://zenodo.org/record/1487136/files/P00451097.json	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00451097
24	24	K000761994	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0025_K000761994.jpg	data_rds/02_raw_images/main500/main500_row0025_K000761994.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0025_K000761994.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0025_K000761994.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0025_K000761994.jpg	http://dx.doi.org/10.5281/zenodo.1485941	https://zenodo.org/record/1485941/files/K000761994.jpg	https://zenodo.org/record/1485941/files/K000761994.json	http://specimens.kew.org/herbarium/K000761994
25	25	BM001128561	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0026_BM001128561.jpg	data_rds/02_raw_images/main500/main500_row0026_BM001128561.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0026_BM001128561.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0026_BM001128561.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0026_BM001128561.jpg	http://dx.doi.org/10.5281/zenodo.1480657	https://zenodo.org/record/1480657/files/BM001128561.jpg	https://zenodo.org/record/1480657/files/BM001128561.json	e328ea93-84d1-43d8-a2d5-27fa222e2e9e
26	26	L.2571799	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0027_L.2571799.jpg	data_rds/02_raw_images/main500/main500_row0027_L.2571799.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0027_L.2571799.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0027_L.2571799.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0027_L.2571799.jpg	http://dx.doi.org/10.5281/zenodo.1486934	https://zenodo.org/record/1486934/files/L.2571799.jpg	https://zenodo.org/record/1486934/files/L.2571799.json	http://data.biodiversitydata.nl/naturalis/specimen/L.2571799
27	27	L.1934962	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0028_L.1934962.jpg	data_rds/02_raw_images/main500/main500_row0028_L.1934962.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0028_L.1934962.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0028_L.1934962.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0028_L.1934962.jpg	http://dx.doi.org/10.5281/zenodo.1486868	https://zenodo.org/record/1486868/files/L.1934962.jpg	https://zenodo.org/record/1486868/files/L.1934962.json	http://data.biodiversitydata.nl/naturalis/specimen/L.1934962
28	28	P00642147	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0029_P00642147.jpg	data_rds/02_raw_images/main500/main500_row0029_P00642147.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0029_P00642147.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0029_P00642147.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0029_P00642147.jpg	http://dx.doi.org/10.5281/zenodo.1487186	https://zenodo.org/record/1487186/files/P00642147.jpg	https://zenodo.org/record/1487186/files/P00642147.json	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642147
29	29	E00668525	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0030_E00668525.jpg	data_rds/02_raw_images/main500/main500_row0030_E00668525.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0030_E00668525.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0030_E00668525.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0030_E00668525.jpg	http://dx.doi.org/10.5281/zenodo.1484179	https://zenodo.org/record/1484179/files/E00668525.jpg	https://zenodo.org/record/1484179/files/E00668525.json	http://data.rbge.org.uk/herb/E00668525
30	30	E00455012	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0031_E00455012.jpg	data_rds/02_raw_images/main500/main500_row0031_E00455012.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0031_E00455012.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0031_E00455012.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0031_E00455012.jpg	http://dx.doi.org/10.5281/zenodo.1484093	https://zenodo.org/record/1484093/files/E00455012.jpg	https://zenodo.org/record/1484093/files/E00455012.json	http://data.rbge.org.uk/herb/E00455012
31	31	E00088095	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0032_E00088095.jpg	data_rds/02_raw_images/main500/main500_row0032_E00088095.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0032_E00088095.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0032_E00088095.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0032_E00088095.jpg	http://dx.doi.org/10.5281/zenodo.1483707	https://zenodo.org/record/1483707/files/E00088095.jpg	https://zenodo.org/record/1483707/files/E00088095.json	http://data.rbge.org.uk/herb/E00088095
32	32	E00146845	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0033_E00146845.jpg	data_rds/02_raw_images/main500/main500_row0033_E00146845.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0033_E00146845.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0033_E00146845.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0033_E00146845.jpg	http://dx.doi.org/10.5281/zenodo.1483774	https://zenodo.org/record/1483774/files/E00146845.jpg	https://zenodo.org/record/1483774/files/E00146845.json	http://data.rbge.org.uk/herb/E00146845
33	33	L.3973960	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0034_L.3973960.jpg	data_rds/02_raw_images/main500/main500_row0034_L.3973960.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0034_L.3973960.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0034_L.3973960.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0034_L.3973960.jpg	http://dx.doi.org/10.5281/zenodo.1487072	https://zenodo.org/record/1487072/files/L.3973960.jpg	https://zenodo.org/record/1487072/files/L.3973960.json	http://data.biodiversitydata.nl/naturalis/specimen/L.3973960
34	34	E00268379	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0035_E00268379.jpg	data_rds/02_raw_images/main500/main500_row0035_E00268379.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0035_E00268379.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0035_E00268379.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0035_E00268379.jpg	http://dx.doi.org/10.5281/zenodo.1483899	https://zenodo.org/record/1483899/files/E00268379.jpg	https://zenodo.org/record/1483899/files/E00268379.json	http://data.rbge.org.uk/herb/E00268379
35	35	E00071177	True	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0036_E00071177.jpg	data_rds/02_raw_images/main500/main500_row0036_E00071177.jpg	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0036_E00071177.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/nhm_scribe_repo/data_rds/02_raw_images/main500/main500_row0036_E00071177.jpg|/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main_data/main500_row0036_E00071177.jpg	http://dx.doi.org/10.5281/zenodo.1483667	https://zenodo.org/record/1483667/files/E00071177.jpg	https://zenodo.org/record/1483667/files/E00071177.json	http://data.rbge.org.uk/herb/E00071177
